file	image_id	city	near	licence	creator	bosnian
file	image_id	city	near	licence	creator	bosnian
mly_1570673770072772.jpg	1570673770072772	zagreb	Svilkovići	CC-BY-SA 4.0		0
mly_1046681903782278.jpg	1046681903782278	split	Pazar 1	CC-BY-SA 4.0		0
mly_1559685328018448.jpg	1559685328018448	beograd	Велимира Тодоровића	CC-BY-SA 4.0		0
mly_434464565440046.jpg	434464565440046	zagreb	Svilkovići	CC-BY-SA 4.0		0
mly_946442553153917.jpg	946442553153917	tuzla	25-26	CC-BY-SA 4.0		0
mly_4134152713272738.jpg	4134152713272738	sarajevo	"N market"	CC-BY-SA 4.0		0
mly_315515553298952.jpg	315515553298952	mostar	#Vihovići	CC-BY-SA 4.0		0
mly_470420024210169.jpg	470420024210169	banjaluka	007	CC-BY-SA 4.0		0
mly_916593575574869.jpg	916593575574869	beograd	Велимира Тодоровића	CC-BY-SA 4.0		0
mly_3048880912002593.jpg	3048880912002593	sarajevo	"N market"	CC-BY-SA 4.0		0
mly_501411922509120.jpg	501411922509120	split	Pazar 1	CC-BY-SA 4.0		0
mly_908476139985642.jpg	908476139985642	mostar	#Vihovići	CC-BY-SA 4.0		0
mly_666443838576362.jpg	666443838576362	tuzla	25-26	CC-BY-SA 4.0		0
mly_296836215385553.jpg	296836215385553	zenica	A2	CC-BY-SA 4.0		0
mly_362585495505268.jpg	362585495505268	banjaluka	007	CC-BY-SA 4.0		0
mly_134806572479062.jpg	134806572479062	zagreb	Slavenskog	CC-BY-SA 4.0		0
mly_282081590318467.jpg	282081590318467	sarajevo	11 Plavih	CC-BY-SA 4.0		0
mly_2264048790638702.jpg	2264048790638702	split	Domovinskog rata - Mall of Split	CC-BY-SA 4.0		0
mly_170454554985916.jpg	170454554985916	zenica	A2	CC-BY-SA 4.0		0
mly_972288875777763.jpg	972288875777763	beograd	Школа Војислав Илић	CC-BY-SA 4.0		0
mly_228702229017213.jpg	228702229017213	sarajevo	11 Plavih	CC-BY-SA 4.0		0
mly_592667985460048.jpg	592667985460048	zagreb	Slavenskog	CC-BY-SA 4.0		0
mly_312821153564478.jpg	312821153564478	banjaluka	15. januar	CC-BY-SA 4.0		0
mly_1143911793467398.jpg	1143911793467398	split	Domovinskog rata - Mall of Split	CC-BY-SA 4.0		0
mly_1135555221473148.jpg	1135555221473148	mostar	88101 Mostar - Šalter Doma Zdravlja	CC-BY-SA 4.0		0
mly_1525495025749074.jpg	1525495025749074	beograd	Школа Војислав Илић	CC-BY-SA 4.0		0
mly_2581037798859086.jpg	2581037798859086	sarajevo	11 Plavih	CC-BY-SA 4.0		0
mly_784626268856829.jpg	784626268856829	sarajevo	11 Plavih	CC-BY-SA 4.0		0
mly_656985582885688.jpg	656985582885688	zagreb	Zagrebačka	CC-BY-SA 4.0		0
mly_318296367141338.jpg	318296367141338	mostar	88101 Mostar - Šalter Doma Zdravlja	CC-BY-SA 4.0		0
mly_1575975382592793.jpg	1575975382592793	zenica	Addiko Bank	CC-BY-SA 4.0		0
mly_773913783635911.jpg	773913783635911	zagreb	Zagrebačka	CC-BY-SA 4.0		0
mly_1907911153260541.jpg	1907911153260541	split	Vez 5	CC-BY-SA 4.0		0
mly_1258997731640861.jpg	1258997731640861	banjaluka	262	CC-BY-SA 4.0		0
mly_3052106095060847.jpg	3052106095060847	zenica	Addiko Bank	CC-BY-SA 4.0		0
mly_4105826956106733.jpg	4105826956106733	sarajevo	4 sobe gospođe Safije	CC-BY-SA 4.0		0
mly_1919492368414978.jpg	1919492368414978	tuzla	ASA banka	CC-BY-SA 4.0		0
mly_313440033580518.jpg	313440033580518	mostar	A man	CC-BY-SA 4.0		0
mly_1471592677741270.jpg	1471592677741270	split	Vez 5	CC-BY-SA 4.0		0
mly_1656132908191308.jpg	1656132908191308	banjaluka	262	CC-BY-SA 4.0		0
mly_5440485232688985.jpg	5440485232688985	sarajevo	4 sobe gospođe Safije	CC-BY-SA 4.0		0
mly_2038040220183298.jpg	2038040220183298	beograd	МЗ Крњача	CC-BY-SA 4.0		0
mly_251746677421990.jpg	251746677421990	tuzla	ASA banka	CC-BY-SA 4.0		0
mly_1145908483946292.jpg	1145908483946292	zagreb	Hrvatskog sokola	CC-BY-SA 4.0		0
mly_2959670987690836.jpg	2959670987690836	mostar	A man	CC-BY-SA 4.0		0
mly_1983088402573342.jpg	1983088402573342	beograd	МЗ Крњача	CC-BY-SA 4.0		0
mly_1048229910478912.jpg	1048229910478912	zagreb	Hrvatskog sokola	CC-BY-SA 4.0		0
mly_595586138500650.jpg	595586138500650	zenica	Almy	CC-BY-SA 4.0		0
mly_845681052966601.jpg	845681052966601	banjaluka	3. Salon	CC-BY-SA 4.0		0
mly_854283505161592.jpg	854283505161592	split	Vez 13	CC-BY-SA 4.0		0
mly_2840064289582000.jpg	2840064289582000	sarajevo	71143 Sarajevo	CC-BY-SA 4.0		0
mly_850615735490890.jpg	850615735490890	zenica	Almy	CC-BY-SA 4.0		0
mly_1292452455423491.jpg	1292452455423491	mostar	A&A Pancake Bar	CC-BY-SA 4.0		0
mly_218166489786091.jpg	218166489786091	banjaluka	3. Salon	CC-BY-SA 4.0		0
mly_946765946153303.jpg	946765946153303	sarajevo	71143 Sarajevo	CC-BY-SA 4.0		0
mly_249471380238649.jpg	249471380238649	split	Vez 13	CC-BY-SA 4.0		0
mly_778169084311665.jpg	778169084311665	zagreb	Hrvatskog sokola	CC-BY-SA 4.0		0
mly_1048814449283076.jpg	1048814449283076	beograd	НИС Петрол	CC-BY-SA 4.0		0
mly_511253858741066.jpg	511253858741066	mostar	A&A Pancake Bar	CC-BY-SA 4.0		0
mly_748968526098326.jpg	748968526098326	zagreb	Hrvatskog sokola	CC-BY-SA 4.0		0
mly_531829177810952.jpg	531829177810952	beograd	НИС Петрол	CC-BY-SA 4.0		0
mly_480764216312226.jpg	480764216312226	split	Plaža Žnjan Zapad	CC-BY-SA 4.0		0
mly_137176559245966.jpg	137176559245966	tuzla	Afrodita	CC-BY-SA 4.0		0
mly_3884612471796121.jpg	3884612471796121	sarajevo	71214 Butmir	CC-BY-SA 4.0		0
mly_500535444707591.jpg	500535444707591	zenica	Ambulanta Donja Gračanica	CC-BY-SA 4.0		0
mly_514318369604826.jpg	514318369604826	sarajevo	71214 Butmir	CC-BY-SA 4.0		0
mly_277153934638384.jpg	277153934638384	tuzla	Afrodita	CC-BY-SA 4.0		0
mly_491657175406578.jpg	491657175406578	zagreb	Fallerovo	CC-BY-SA 4.0		0
mly_263517675470852.jpg	263517675470852	split	Plaža Žnjan Zapad	CC-BY-SA 4.0		0
mly_320500952793182.jpg	320500952793182	zenica	Ambulanta Donja Gračanica	CC-BY-SA 4.0		0
mly_222171626035686.jpg	222171626035686	mostar	ADO-V	CC-BY-SA 4.0		0
mly_170210718250126.jpg	170210718250126	zagreb	Fallerovo	CC-BY-SA 4.0		0
mly_567906446329202.jpg	567906446329202	beograd	Др Велизара Косановића	CC-BY-SA 4.0		0
mly_316127266588830.jpg	316127266588830	sarajevo	71323 Kobilja Glava	CC-BY-SA 4.0		0
mly_6732640433417610.jpg	6732640433417610	banjaluka	5th Avenue	CC-BY-SA 4.0		0
mly_160013266071710.jpg	160013266071710	mostar	ADO-V	CC-BY-SA 4.0		0
mly_644601164638261.jpg	644601164638261	beograd	Др Велизара Косановића	CC-BY-SA 4.0		0
mly_1826247021110450.jpg	1826247021110450	split	Bakotićeva 2	CC-BY-SA 4.0		0
mly_463013864769725.jpg	463013864769725	sarajevo	71323 Kobilja Glava	CC-BY-SA 4.0		0
mly_243955645031794.jpg	243955645031794	split	Bakotićeva 2	CC-BY-SA 4.0		0
mly_1546550642627100.jpg	1546550642627100	zagreb	Marohnićeva	CC-BY-SA 4.0		0
mly_1372777383288945.jpg	1372777383288945	banjaluka	5th Avenue	CC-BY-SA 4.0		0
mly_462197031737803.jpg	462197031737803	zagreb	Marohnićeva	CC-BY-SA 4.0		0
mly_467996890928111.jpg	467996890928111	sarajevo	A & M	CC-BY-SA 4.0		0
mly_1075021899690904.jpg	1075021899690904	split	Trajektna luka	CC-BY-SA 4.0		0
mly_1336006107416854.jpg	1336006107416854	mostar	AS 1	CC-BY-SA 4.0		0
mly_1159653400557890.jpg	1159653400557890	beograd	Здравствена станица „Авијатичарски трг”	CC-BY-SA 4.0		0
mly_2769031933387313.jpg	2769031933387313	sarajevo	A & M	CC-BY-SA 4.0		0
mly_138625604918509.jpg	138625604918509	zenica	Baki Car Detailing	CC-BY-SA 4.0		0
mly_1577430506109818.jpg	1577430506109818	banjaluka	7. april	CC-BY-SA 4.0		0
mly_233516401579788.jpg	233516401579788	split	Trajektna luka	CC-BY-SA 4.0		0
mly_133111396532272.jpg	133111396532272	zagreb	Vjesnik	CC-BY-SA 4.0		0
mly_1509429597551115.jpg	1509429597551115	beograd	Здравствена станица „Авијатичарски трг”	CC-BY-SA 4.0		0
mly_497602056145321.jpg	497602056145321	mostar	AS 1	CC-BY-SA 4.0		0
mly_848445109105932.jpg	848445109105932	sarajevo	A2	CC-BY-SA 4.0		0
mly_378293333469142.jpg	378293333469142	zenica	Baki Car Detailing	CC-BY-SA 4.0		0
mly_628195765784299.jpg	628195765784299	banjaluka	7. april	CC-BY-SA 4.0		0
mly_791793095042955.jpg	791793095042955	sarajevo	A2	CC-BY-SA 4.0		0
mly_974871396924600.jpg	974871396924600	zagreb	Vjesnik	CC-BY-SA 4.0		0
mly_1554528223053976.jpg	1554528223053976	split	Muzej HAS 2	CC-BY-SA 4.0		0
mly_1258199716114081.jpg	1258199716114081	beograd	Моћ биља - Др Јосиф Панчић	CC-BY-SA 4.0		0
mly_4248941355169876.jpg	4248941355169876	banjaluka	777 Rent a Car	CC-BY-SA 4.0		0
mly_779632859423859.jpg	779632859423859	split	Muzej HAS 2	CC-BY-SA 4.0		0
mly_882965052256003.jpg	882965052256003	zenica	Balgera	CC-BY-SA 4.0		0
mly_1031980278122272.jpg	1031980278122272	zagreb	Rudeška	CC-BY-SA 4.0		0
mly_603978277244281.jpg	603978277244281	banjaluka	777 Rent a Car	CC-BY-SA 4.0		0
mly_1125436119649781.jpg	1125436119649781	beograd	Моћ биља - Др Јосиф Панчић	CC-BY-SA 4.0		0
