epoch,loss_d,loss_g,step,train_disc,train_dur,train_fm,train_gen,train_kl,train_mel
0,2.213545799255371,22.723054885864258,24,2.213545799255371,1.7309678792953491,3.9774186611175537,2.704608917236328,2.0233054161071777,0.27303892374038696
0,1.6965343952178955,42.73396682739258,49,1.6965343952178955,1.4999018907546997,14.075275421142578,3.937534809112549,2.7143046855926514,0.4557100236415863
0,2.275935411453247,38.82976150512695,74,2.275935411453247,1.6004682779312134,11.796542167663574,4.095534324645996,3.1058733463287354,0.40514102578163147
0,1.6117143630981445,39.57156753540039,99,1.6117143630981445,1.5548501014709473,10.7633638381958,3.9076473712921143,2.513380289077759,0.462940514087677
0,1.87508225440979,37.528900146484375,124,1.87508225440979,1.574299693107605,11.136406898498535,3.9558472633361816,1.5327448844909668,0.42954668402671814
0,2.1449930667877197,35.37974548339844,149,2.1449930667877197,1.5176700353622437,9.8413667678833,3.6700432300567627,1.5514535903930664,0.41776028275489807
0,1.6671520471572876,44.608238220214844,174,1.6671520471572876,1.4575399160385132,15.165562629699707,4.552779674530029,2.8058831691741943,0.45836615562438965
0,1.6805205345153809,40.9013786315918,199,1.6805205345153809,1.4377657175064087,12.138211250305176,4.314511299133301,2.737441301345825,0.4505210518836975
0,1.7649071216583252,38.13756561279297,224,1.7649071216583252,1.5075229406356812,11.305594444274902,3.1595652103424072,1.8387900590896606,0.4516909122467041
0,2.070949077606201,35.42804718017578,249,2.070949077606201,1.5854036808013916,9.338970184326172,3.0007922649383545,2.037405014038086,0.43256616592407227
0,2.270064353942871,38.14533996582031,274,2.270064353942871,1.6084016561508179,10.706694602966309,2.9944941997528076,1.9473466873168945,0.4641866683959961
0,1.705841064453125,37.592002868652344,299,1.705841064453125,1.8137702941894531,11.69268798828125,3.3030214309692383,2.101663827896118,0.4151301980018616
0,1.9849473237991333,39.443050384521484,324,1.9849473237991333,1.6243011951446533,10.280680656433105,4.268104076385498,2.678886651992798,0.45757952332496643
0,3.1535098552703857,30.001197814941406,349,3.1535098552703857,1.5103471279144287,8.71055793762207,1.7837921380996704,1.8133556842803955,0.3596253991127014
1,1.9438183307647705,34.662689208984375,374,1.9438183307647705,1.54525625705719,8.566027641296387,3.053077220916748,1.8318244218826294,0.43703338503837585
1,1.857804298400879,40.96368408203125,399,1.857804298400879,1.3795723915100098,12.474705696105957,3.5492775440216064,1.9798779487609863,0.4795611500740051
1,1.7193021774291992,41.95171356201172,424,1.7193021774291992,1.5763064622879028,14.335865020751953,4.005831718444824,2.2748420238494873,0.4390859603881836
1,2.2690110206604004,38.34315490722656,449,2.2690110206604004,1.463927149772644,9.516788482666016,4.497303009033203,2.507629632949829,0.4523889720439911
1,1.5220885276794434,40.029701232910156,474,1.5220885276794434,1.4654490947723389,11.913761138916016,3.8411436080932617,3.217670440673828,0.435370534658432
1,2.2967770099639893,36.3972282409668,499,2.2967770099639893,1.5047591924667358,9.82642650604248,3.0054636001586914,1.4709746837615967,0.4575466811656952
1,2.0206990242004395,37.07403564453125,524,2.0206990242004395,1.4078775644302368,9.712644577026367,3.3478100299835205,2.7191925048828125,0.4419224262237549
1,1.784497618675232,39.76267623901367,549,1.784497618675232,1.3218671083450317,12.378386497497559,3.1887331008911133,2.1143734455108643,0.46131810545921326
1,2.602078676223755,24.738056182861328,574,2.602078676223755,1.4510855674743652,5.942270278930664,2.3411872386932373,2.1912715435028076,0.28471648693084717
1,1.8358154296875,37.53506851196289,599,1.8358154296875,1.455590009689331,12.005919456481934,3.349808692932129,1.3514002561569214,0.43049678206443787
