210	1	Church
210	2	Карановац
210	3	MADE
210	4	HAND
210	5	__UNSURE__
210	6	Tihovići
210	7	Тиховићи
210	8	Tjentište
211	1	Tjentište
211	2	Baščaršija
211	3	Old town
211	4	2,5 km
211	5	Skenderija
211	6	km
211	7	Olympic hall
211	8	Vilsonovo šetalište
212	1	Wilson's Lane
212	2	200m
212	3	Zemaljski muzej
212	4	The Nacional museum of BiH
212	5	SOCIJALIZAM
212	6	PRAVDA
212	7	ZA ČOVJEKA
212	8	SDP
213	1	NEVER
213	2	FORGET
213	3	SREBRENICA
213	4	__UNSURE__
213	5	__NOTEXT__
213	6	Bavaria
213	7	Bava
213	8	__UNSURE__
214	1	Bavaria
214	2	Raiffeisen BANK
214	3	__NOTEXT__
214	4	Bavaria
214	5	__UNSURE__
214	6	__UNSURE__
214	7	Heineke
214	8	Heine
215	1	Winy
215	2	ROUGE
215	3	__UNSURE__
215	4	Blue
215	5	ovacko
215	6	Karlovacko
215	7	RO
215	8	__UNSURE__
