77	1	rekonstrukcija
77	2	njena/njezina adaptacija, kada kuća
77	3	када кућа добија намјену
77	4	итељског објекта.
77	5	reconstructed
77	6	converted
77	7	into
77	8	restaurant
78	1	dobija namjenu ugostiteljskog objekta.
78	2	Објекат
78	3	бегове
78	4	куће
78	5	Objekat/objekt
78	6	Omer-
78	7	-begove
78	8	kuće
79	1	predstavlja
79	2	примјер
79	3	традиционалне
79	4	стамбене
79	5	архитектуре
79	6	The
79	7	Omer-
79	8	house
80	1	typical example
80	2	of the
80	3	tipičan primjer tradicionalne stambene arhitekture
80	4	Jajca,
80	5	приземљем
80	6	грађеним
80	7	камених
80	8	traditional Bosnian
112	1	НАШЕ СТОЛНО МѢСТО
112	2	Крушево
112	3	Брдо
112	4	__UNSURE__
112	5	MINE
112	6	__NOTEXT__
112	7	ПАЗИ - МИНЕ
112	8	UKLANJANJE OVOG ZNAKA
113	1	KRIVIČNO JE DJELO
113	2	unicef
113	3	КЛАЊАЊЕ ОВОГ ЗНАКА
113	4	__UNSURE__
113	5	КРИВИЧНО ЈЕ ДЈЕЛО
113	6	MAC
113	7	AMBASADOR
113	8	LESZEK HENSEL
114	1	REPUBLIKA POLJSKA
114	2	2002
114	3	DŽEKO
114	4	ĐURIC
114	5	RONALDO
114	6	Kulen Vakuf
114	7	Martin Brod
114	8	Titov
