175	1	__UNSURE__
175	2	DEŽURNA
175	3	APOTEKA
175	4	DEŽURNA APOTEKA
175	5	GALAS
175	6	SIGURAN PUT
175	7	DO ODREDIŠTA
175	8	WESTERN UNION
176	1	ROBOT
176	2	IMAGE
176	3	IMAGE
176	4	IMAGE
176	5	APOTEKA
176	6	__UNSURE__
176	7	O SARAJEVO
176	8	UNIOR
177	1	DEŽURNA APOTEKA
177	2	CVJECARA
177	3	'FLORA'
177	4	pére
177	5	pére
177	6	pére
177	7	ROBOT
177	8	GALAS
178	1	2011
178	2	4413
178	3	25
178	4	4418
178	5	GRAS
178	6	GRAS
178	7	EUROHAUS
178	8	PERON 10
179	1	PERON 11
179	2	PERON 12
179	3	BUREG
179	4	'DŽ
179	5	PERON 13
179	6	__UNSURE__
179	7	__UNSURE__
179	8	00 - 24
180	1	"BM"
180	2	BM
180	3	Hotel
180	4	BRAĆA MUJIĆ
180	5	__UNSURE__
180	6	BRAĆA
180	7	MUJIĆ"
180	8	2.35 2.40
