12	1	__UNSURE__
12	2	__UNSURE__
12	3	__UNSURE__
12	4	Bingo plus
12	5	Bingo
12	6	Bingo
12	7	Bingo plus
12	8	Bingo
13	1	Bistrik - kula sa astronomskom
13	2	opservatorijom
13	3	Tvrdava
13	4	Bistrik
13	5	sagradena
13	6	vrijeme
13	7	austrougarske
13	8	vladavine
14	1	Bosni
14	2	During
14	3	Austro-Hungarian
14	4	power,
14	5	military fortress
14	6	was built
14	7	Mountain
14	8	Hercegovini
15	1	odbrambenog
15	2	Sarajeva
15	3	Objekat
15	4	nakon
15	5	Trebević
15	6	The mountaintop provided
15	7	the entire
15	8	city, and was
16	1	point
16	2	military observation.
16	3	Military
16	4	the unfortunate
16	5	prestanka vladavine Austrougarske monarhije napušten i nije bio
16	6	funkciji sve
16	7	occurred
16	8	abandoned
17	1	1967
17	2	when
17	3	godine kada
17	4	korištenje
17	5	dobilo Univerzitetsko astronomsko društvo.
17	6	government
17	7	the University
17	8	placed objects
18	1	Society.
18	2	radovi
18	3	izgradnji
18	4	Astronomsko
18	5	opservatorije
18	6	(koja
18	7	Čolina
18	8	University
19	1	Astronomical
19	2	Society
19	3	established
19	4	kapa")
19	5	obavljeni
19	6	1969.
19	7	1972
19	8	godine.
20	1	Izvršena
20	2	ekonstrukcija
20	3	Observatory and worked hard
20	4	bring it up
20	5	state-of-the-art technological
20	6	standards
20	7	austrougarske
20	8	podignute
21	1	dvije
21	2	kupole
21	3	manjoj
21	4	smješten dvostruki
21	5	i astrograf, a
21	6	većoj reflektor
21	7	„Vaisala"
21	8	construction
22	1	phase,
22	2	lasted
22	3	from
22	4	1972 during
22	5	were rebuilt into
22	6	astronomical
22	7	observatory and two
22	8	domes
23	1	were added
23	2	the main
23	3	building.
23	4	double
23	5	astrograph
23	6	placed
23	7	the smaller
23	8	dome.
24	1	1975.
24	2	trajala
24	3	zvjezdarnice. Tada
24	4	while
24	5	spotlight named "Vaisala"
24	6	was placed
24	7	greater
24	8	dome
