file	source_url	license	license_url	attribution	city	text_regions	diacritics	restrictions
Tuzla_-_INA_petrol_station_2019_.jpg	https://commons.wikimedia.org/wiki/File:Tuzla_-_INA_petrol_station_(2019).jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Sebleouf	Tuzla	8	0	
Mostar_signs.JPG	https://commons.wikimedia.org/wiki/File:Mostar_signs.JPG	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Vikiçizer	Mostar	2	0	
Bistrik_kula_observatory_information_board.jpg	https://commons.wikimedia.org/wiki/File:Bistrik_kula_observatory_information_board.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Adam Harangozó		37	6	
Bingo_supermarket_Trebinje_2024.jpg	https://commons.wikimedia.org/wiki/File:Bingo_supermarket,_Trebinje,_2024.jpg	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Bdx	Trebinje	3	1	
Putokaz212.jpg	https://commons.wikimedia.org/wiki/File:Putokaz212.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Rade Nagraisalović	Banja Luka	4	0	
Tjentište_sign.jpg	https://commons.wikimedia.org/wiki/File:Tjenti%C5%A1te_sign.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Niegodzisie		2	1	
Trg_Krajine_čajavčev_i_ulaz_u_gospodsku.jpg	https://commons.wikimedia.org/wiki/File:Trg_Krajine,%C4%8Dajav%C4%8Dev_i_ulaz_u_gospodsku.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Rade Nagraisalović		2	1	
Neum_road.jpg	https://commons.wikimedia.org/wiki/File:Neum_road.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Vikiçizer	Neum	5	0	
Board_of_Republika_Srpska.JPG	https://commons.wikimedia.org/wiki/File:Board_of_Republika_Srpska.JPG	Public domain		MoserB at de.wikipedia		2	0	
Sarajevo_Bascarsija_Shop_2011-11-08.jpg	https://commons.wikimedia.org/wiki/File:Sarajevo_Bascarsija_Shop_2011-11-08.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Milan Suvajac	Sarajevo	4	0	
Gospodska_ulica_2_.jpg	https://commons.wikimedia.org/wiki/File:Gospodska_ulica_(2).jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Слободни умјетник		3	0	
Only_foreign_butter_in_Bosnian_supermarkets.jpg	https://commons.wikimedia.org/wiki/File:Only_foreign_butter_in_Bosnian_supermarkets.jpg	CC BY 4.0	https://creativecommons.org/licenses/by/4.0	Modular science		13	0	
Inat_kuca_-_natpis.JPG	https://commons.wikimedia.org/wiki/File:Inat_kuca_-_natpis.JPG	CC BY 3.0 rs	https://creativecommons.org/licenses/by/3.0/rs/deed.en	The original uploader was Вики корисник at Serbian Wikipedia .	Sarajevo	5	0	
Čaprazlije-Granići-ploča.JPG	https://commons.wikimedia.org/wiki/File:%C4%8Caprazlije-Grani%C4%87i-plo%C4%8Da.JPG	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	http://www.caprazlije.net/		2	2	
